GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sharding-parser,shardingsphere.workshop.parser.statement.statement,InsertStatement,0,21,0,0,0,4,0,4,0,4
sharding-parser,shardingsphere.workshop.parser.statement.statement,UseStatement,0,9,0,0,0,2,0,2,0,2
sharding-parser,shardingsphere.workshop.parser.statement.statement,SelectStatement,0,15,0,0,0,3,0,3,0,3
sharding-parser,autogen,MySQLStatementParser.SelectElementContext,12,13,1,1,3,3,3,2,2,2
sharding-parser,autogen,MySQLStatementParser.SelectElementsContext,34,9,2,0,7,3,7,2,6,2
sharding-parser,autogen,MySQLStatementParser.ColumnNameContext,6,19,1,1,2,4,2,3,1,3
sharding-parser,autogen,MySQLStatementParser.AssignmentValuesContext,39,9,2,0,8,3,8,2,7,2
sharding-parser,autogen,MySQLStatementBaseVisitor,64,7,0,0,16,2,16,2,16,2
sharding-parser,autogen,MySQLStatementParser.UseContext,11,19,1,1,3,4,3,3,2,3
sharding-parser,autogen,MySQLStatementParser.IdentifierContext,21,13,1,1,5,3,5,2,4,2
sharding-parser,autogen,MySQLStatementParser.LogicExpressionContext,96,0,2,0,20,0,19,0,18,0
sharding-parser,autogen,MySQLStatementParser,925,1291,46,26,259,211,47,28,13,18
sharding-parser,autogen,MySQLStatementParser.LogicalOperatorContext,47,0,2,0,11,0,10,0,9,0
sharding-parser,autogen,MySQLStatementParser.WhereClauseContext,30,0,2,0,7,0,6,0,5,0
sharding-parser,autogen,MySQLStatementParser.AssignmentValueContext,6,19,1,1,2,4,2,3,1,3
sharding-parser,autogen,MySQLStatementParser.SchemaNameContext,6,19,1,1,2,4,2,3,1,3
sharding-parser,autogen,MySQLStatementParser.ColumnNamesContext,39,9,2,0,8,3,8,2,7,2
sharding-parser,autogen,MySQLStatementParser.ComparisonOperatorContext,39,0,2,0,9,0,8,0,7,0
sharding-parser,autogen,MySQLStatementLexer,16,905,0,8,8,27,8,9,8,5
sharding-parser,autogen,MySQLStatementParser.ExecuteContext,37,5,2,0,7,2,7,1,6,1
sharding-parser,autogen,MySQLStatementParser.InsertContext,21,31,1,1,5,6,5,5,4,5
sharding-parser,autogen,MySQLStatementParser.SelectContext,22,25,1,1,5,5,5,4,4,4
sharding-parser,autogen,MySQLStatementParser.TableNameContext,6,19,1,1,2,4,2,3,1,3
sharding-parser,shardingsphere.workshop.parser.engine.parser,SQLParser,16,27,0,0,5,6,0,3,0,3
sharding-parser,shardingsphere.workshop.parser.statement.segment,SchemeNameSegment,0,9,0,0,0,2,0,2,0,2
sharding-parser,shardingsphere.workshop.parser.statement.segment,IdentifierSegment,0,9,0,0,0,2,0,2,0,2
sharding-parser,shardingsphere.workshop.parser.engine,ParseEngine,14,27,1,1,1,6,1,2,0,2
sharding-parser,shardingsphere.workshop.parser.exception,SQLParsingException,6,0,0,0,2,0,1,0,1,0
sharding-parser,shardingsphere.workshop.parser.engine.visitor,SQLVisitor,0,165,0,6,0,36,0,12,0,9
